Tile,xmin,xmax,ymin,ymax
Valid,415900,416000,4573800,4573900
Missing_Data,415900,416000,,4573900
Viladecans_4159_45738,415900,416000,4573800,4573900
Viladecans_4159_45739,415900,416000,4573900,4574000
Viladecans_4159_45740,415900,416000,4574000,4574100
Viladecans_4159_45741,415900,416000,4574100,4574200
Viladecans_4160_45738,416000,416100,4573800,4573900
Viladecans_4160_45739,416000,416100,4573900,4574000
Viladecans_4160_45740,416000,416100,4574000,4574100
Viladecans_4160_45741,416000,416100,4574100,4574200
Viladecans_4160_45744,416000,416100,4574400,4574500
Viladecans_4160_45745,416000,416100,4574500,4574600
Viladecans_4160_45746,416000,416100,4574600,4574700
Viladecans_4160_45747,416000,416100,4574700,4574800
Viladecans_4160_45748,416000,416100,4574800,4574900
Viladecans_4161_45738,416100,416200,4573800,4573900
Viladecans_4161_45739,416100,416200,4573900,4574000
Viladecans_4161_45740,416100,416200,4574000,4574100
Viladecans_4161_45741,416100,416200,4574100,4574200
Viladecans_4161_45744,416100,416200,4574400,4574500
Viladecans_4161_45745,416100,416200,4574500,4574600
Viladecans_4161_45746,416100,416200,4574600,4574700
Viladecans_4161_45747,416100,416200,4574700,4574800
Viladecans_4161_45748,416100,416200,4574800,4574900
Viladecans_4162_45738,416200,416300,4573800,4573900
Viladecans_4162_45739,416200,416300,4573900,4574000
Viladecans_4162_45740,416200,416300,4574000,4574100
Viladecans_4162_45741,416200,416300,4574100,4574200
Viladecans_4162_45743,416200,416300,4574300,4574400
Viladecans_4162_45744,416200,416300,4574400,4574500
Viladecans_4162_45745,416200,416300,4574500,4574600
Viladecans_4162_45746,416200,416300,4574600,4574700
Viladecans_4162_45747,416200,416300,4574700,4574800
Viladecans_4162_45748,416200,416300,4574800,4574900
Viladecans_4163_45737,416300,416400,4573700,4573800
Viladecans_4163_45738,416300,416400,4573800,4573900
Viladecans_4163_45739,416300,416400,4573900,4574000
Viladecans_4163_45740,416300,416400,4574000,4574100
Viladecans_4163_45741,416300,416400,4574100,4574200
Viladecans_4163_45742,416300,416400,4574200,4574300
Viladecans_4163_45743,416300,416400,4574300,4574400
Viladecans_4163_45744,416300,416400,4574400,4574500
Viladecans_4163_45745,416300,416400,4574500,4574600
Viladecans_4163_45746,416300,416400,4574600,4574700
Viladecans_4163_45747,416300,416400,4574700,4574800
Viladecans_4163_45748,416300,416400,4574800,4574900
Viladecans_4164_45737,416400,416500,4573700,4573800
Viladecans_4164_45738,416400,416500,4573800,4573900
Viladecans_4164_45739,416400,416500,4573900,4574000
Viladecans_4164_45740,416400,416500,4574000,4574100
Viladecans_4164_45741,416400,416500,4574100,4574200
Viladecans_4164_45742,416400,416500,4574200,4574300
Viladecans_4164_45743,416400,416500,4574300,4574400
Viladecans_4164_45744,416400,416500,4574400,4574500
Viladecans_4164_45745,416400,416500,4574500,4574600
Viladecans_4164_45746,416400,416500,4574600,4574700
Viladecans_4164_45747,416400,416500,4574700,4574800
Viladecans_4164_45748,416400,416500,4574800,4574900
Viladecans_4165_45736,416500,416600,4573600,4573700
Viladecans_4165_45737,416500,416600,4573700,4573800
Viladecans_4165_45738,416500,416600,4573800,4573900
Viladecans_4165_45739,416500,416600,4573900,4574000
Viladecans_4165_45740,416500,416600,4574000,4574100
Viladecans_4165_45741,416500,416600,4574100,4574200
Viladecans_4165_45742,416500,416600,4574200,4574300
Viladecans_4165_45743,416500,416600,4574300,4574400
Viladecans_4165_45744,416500,416600,4574400,4574500
Viladecans_4165_45745,416500,416600,4574500,4574600
Viladecans_4165_45746,416500,416600,4574600,4574700
Viladecans_4165_45747,416500,416600,4574700,4574800
Viladecans_4165_45748,416500,416600,4574800,4574900
Viladecans_4166_45734,416600,416700,4573400,4573500
Viladecans_4166_45735,416600,416700,4573500,4573600
Viladecans_4166_45736,416600,416700,4573600,4573700
Viladecans_4166_45737,416600,416700,4573700,4573800
Viladecans_4166_45738,416600,416700,4573800,4573900
Viladecans_4166_45739,416600,416700,4573900,4574000
Viladecans_4166_45740,416600,416700,4574000,4574100
Viladecans_4166_45741,416600,416700,4574100,4574200
Viladecans_4166_45742,416600,416700,4574200,4574300
Viladecans_4166_45743,416600,416700,4574300,4574400
Viladecans_4166_45744,416600,416700,4574400,4574500
Viladecans_4166_45745,416600,416700,4574500,4574600
Viladecans_4166_45746,416600,416700,4574600,4574700
Viladecans_4166_45747,416600,416700,4574700,4574800
Viladecans_4166_45748,416600,416700,4574800,4574900
Viladecans_4166_45749,416600,416700,4574900,4575000
Viladecans_4166_45750,416600,416700,4575000,4575100
Viladecans_4166_45751,416600,416700,4575100,4575200
Viladecans_4167_45733,416700,416800,4573300,4573400
Viladecans_4167_45734,416700,416800,4573400,4573500
Viladecans_4167_45735,416700,416800,4573500,4573600
Viladecans_4167_45736,416700,416800,4573600,4573700
Viladecans_4167_45737,416700,416800,4573700,4573800
Viladecans_4167_45738,416700,416800,4573800,4573900
Viladecans_4167_45739,416700,416800,4573900,4574000
Viladecans_4167_45740,416700,416800,4574000,4574100
Viladecans_4167_45741,416700,416800,4574100,4574200
Viladecans_4167_45742,416700,416800,4574200,4574300
Viladecans_4167_45743,416700,416800,4574300,4574400
Viladecans_4167_45744,416700,416800,4574400,4574500
Viladecans_4167_45745,416700,416800,4574500,4574600
Viladecans_4167_45746,416700,416800,4574600,4574700
Viladecans_4167_45747,416700,416800,4574700,4574800
Viladecans_4167_45748,416700,416800,4574800,4574900
Viladecans_4167_45749,416700,416800,4574900,4575000
Viladecans_4167_45750,416700,416800,4575000,4575100
Viladecans_4167_45751,416700,416800,4575100,4575200
Viladecans_4168_45732,416800,416900,4573200,4573300
Viladecans_4168_45733,416800,416900,4573300,4573400
Viladecans_4168_45734,416800,416900,4573400,4573500
